30120:Interest income on Loans,30130:Interest income on Advances under lease,30140:Income from Government Securities ,30150:Income from inter-Bank Transactions,30160:Other Discount Income,30170:Others ,30180:Total interest Income  ,30200:Interest Expense on Deposits,30210:Interest Expense on Inter-Bank Transactions,30220:Others,30230:Total Interest Expense  ,30240:NET INTEREST INCOME,"30242:Impairment charges on Loans, Receivables / Leases",30244:NET INTEREST INCOME AFTER IMPAIRMENT CHARGES FOR LOANS ABD RECEIVABLES/LEASES,30260:Commissions,30270:Credit-Related Fee Income,30280:Other Fees ,30290:Total Fees & Commission Income,30300:FEES & Commission Expenses,30310:Net Fees & Commission Income,30330:Trading income on Foreign Exchange,30340:Trading income on Fixed Income securities,30350:Trading income on Equity Investment,30360:Fair value gain/ loss on financial Assets,30370:Gain / loss on disposal of instruments,30380:Fair value gain/ loss on financial liabilities,30390:Net Gain/(Loss) from Non-interest (Islamic) banking activities,30400:Other Trading Income ,30410:Total Trading Income,30420:Other Income,30430:OPERATING INCOME,30440:RECOVERIES,30450:TOTAL OPERATING INCOME,30480:Other Impairments,30490:Salaries and Employee Expenses,30500:Training Expenses,30510:Directors Remuneration and other Expenses,30520:Operating Lease Expenses,30530:General administrative Expenses,30540:Depreciation / Amortization,30550:Other Operating Expenses ,30560:Total Operating Expenses,30570:NET PROFIT/(LOSS) BEFORE TAX FROM CONTINUING OPERATIONS,30590:PROVISION FOR INCOME TAX,30600:PROFIT/(LOSS) AFTER TAX,30604:NET GAIN/(LOSS) FROM DISCONTINUED OPERATIONS / DISPOSAL GROUPS ,30608:NET PROFIT AFTER TAX AND DISCONTINUED OPERATIONS
18506109144.99,101045047.95,5346688118.45,671926024.83,40662939.37,-123576778.81,24542854496.78,10176033774.7,2567759453.54,4398243202.87,17142036431.11,7400818065.67,2670329180.07,4730488885.6,2111429017.93,2947772976.86,130046353.66,5189248348.45,0,5189248348.45,-882146109.76,-375876288.58,0,0,0,0,0,0,-1258022398.34,53745283.74,8715460119.45,16488786.02,8731948905.47,0,2876538105.97,268197651.63,53513958.33,59919523.78,0,1123535312.56,11426417613.28,15808122165.55,-7076173260.08,0,-7076173260.08,0,-7076173260.08
17492471873.03,96043298.33,3634096630.17,235749013.28,26460119.75,155724870.49,21640545805.05,8938852743.82,3061014814.99,2608706257.2,14608573816.01,7031971989.04,2899457842.64,4132514146.4,2578246501.41,3093469942.28,187058852.2,5858775295.89,0,5858775295.89,7886261654.15,653351871.14,0,0,0,0,0,0,8539613525.29,73277976.93,18604180944.51,37583169.58,18641764114.09,0,2793358396.1,267044957.87,56057152.22,82888748.32,0,1198535312.53,11658878660.35,16056763227.39,2585000886.7,0,2585000886.7,0,2585000886.7
20291647404.58,106394428.86,5674836155.39,203256149.47,12474821.68,65178314.55,26353787274.53,9390899973.89,2879716819.95,5403114738.98,17673731532.82,8680055741.71,-591168664.57,9271224406.28,4313560921.32,8886816160.5,223535136.07,13423912217.89,0,13423912217.89,13739126235.89,345228222.68,0,0,0,0,0,0,14084354458.57,2376902872.51,39156393955.25,21065612.56,39177459567.81,-421955466.61,3067984487.37,282278869.15,53521680.34,32052730.33,0,1198535312.53,10118652532.35,14331070145.46,24846389422.35,0,24846389422.35,0,24846389422.35
18360959015.62,108233315.19,7053021613.01,182234991.39,7815152.97,227846503.33,25940110591.51,8928232254.54,2960682045.98,6057891832.59,17946806133.11,7993304458.4,525590508.88,7467713949.52,3529642941.53,2575068717.23,150319087.62,6255030746.38,0,6255030746.38,28263302858.92,1788328497.48,0,0,0,0,0,0,30051631356.4,371096968.79,44145473021.09,73612341.8,44219085362.89,0,2997224709.9,168881630.4,52080875,32052024.99,0,1199134580.2,37278122009.29,41727495829.78,2491589533.11001,0,2491589533.11001,0,2491589533.11001
18468700661.34,110148577.41,8945607626.44,270298134.35,3224243.43,-23570028.66,27774409214.31,9221642739.67,3520219351.74,5741055388.09,18482917479.5,9291491734.81,527088649.57,8764403085.24,1432335651.39,1461626334.86,121930808.64,3015892794.89,0,3015892794.89,-2673647237.84,-2306293883.68,0,0,0,0,0,0,-4979941121.52,289032646.08,7089387404.69,716837596.27,7806225000.96,13891685,3333342885.31,169966839.22,69953666,66689490.28,0,1209639814.2,10435083402.75,15298567782.76,-7492342781.8,0,-7492342781.8,0,-7492342781.8
18315437931.53,102182546.9,4510848362.8,375139793.68,2029691.46,-11939815.13,23293698511.24,8545141683.43,3431513012.15,3988625908.05,15965280603.63,7328417907.61,526856641.41,6801561266.2,8134758342.26,5514125592.97,147767609.72,13796651544.95,0,13796651544.95,3361881585.86,95715944.17,0,0,0,0,0,0,3457597530.03,421598580.96,24477408922.14,121253904.8,24598662826.94,10235861.16,3524308985.29,167394835.46,44756045,34794372.39,0,850963556.61,3050227400.64,7682681056.55,16915981770.39,0,16915981770.39,0,16915981770.39
18674455380,105720834.1,3813170423.86,278810119.68,3138706.07,127608662.78,23002904126.49,8409136090.53,3849427233,4000567909.74,16259131233.27,6743772893.22,528423173.06,6215349720.16,1250050455.28,664145106.98,184565614.95,2098761177.21,0,2098761177.21,-9254447738.71,-721891082.39,0,0,0,0,0,0,-9976338821.1,62163649.12,-1600064274.61,44782229.96,-1555282044.65,0,4073014900.24,-95354275.45,131742272.54,40751142.29,0,1399134580.18,8872363374.91,14421651994.71,-15976934039.36,0,-15976934039.36,0,-15976934039.36
18717662638.94,87756757.22,4056850149.43,265371399.36,3134826.06,-88868155.26,23041907615.75,8114198656.05,4239721682.22,4303011175.22,16656931513.49,6384976102.26,-39491936.44,6424468038.7,4975380630.96,2762479498.17,175733790.76,7913593919.89,0,7913593919.89,98996817.41,10798985526.37,0,0,0,0,0,0,10897982343.78,66621173.85,25302665476.22,10822000,25313487476.22,0,3579941383.41,262062106.3,68463067.99,47929498.28,0,1294490939.64,9522354955.25,14775241950.87,10538245525.35,0,10538245525.35,0,10538245525.35
16709863729.39,109679643.44,6947954339.51,265272653.07,1994433.92,-86745205.72,23948019593.61,7634013595.69,3801580546.15,3906602048.75,15342196190.59,8605823403.02,384322416.9,8221500986.12,22918984865.4,-1412006827.22,182850073.03,21689828111.21,0,21689828111.21,-14721131299.37,13618308950.82,0,0,0,0,0,0,-1102822348.55,251302613.67,29059809362.45,14379738.26,29074189100.71,43889599.4,3470812225.42,4679931.6,52051423.9,21825577.39,0,1043775953.26,3631733030.94,8268767741.91,20805421358.8,0,20805421358.8,0,20805421358.8
18775059340.85,158432240.63,3288900644.26,858173919.39,1935030.29,-3232167.83,23079269007.59,8717774690.31,4900646140.44,3088953209.18,16707374039.93,6371894967.66,1320218559.88,5051676407.78,3682049974.5,1176380777.08,156250354.52,5014681106.1,0,5014681106.1,5627863934.54,-79829313.49,0,0,0,0,0,0,5548034621.05,122720664.99,15737112799.92,10085009.28,15747197809.2,-41835000,3330699599.78,534885631.82,107642255.68,155936223.22,0,1288696567.28,8263233972.58,13639259250.36,2107938558.84,0,2107938558.84,0,2107938558.84
16307276292.99,96669333.74,2728151170.52,385396859.53,3917961.29,-82067160.53,19439344457.54,8251229218.81,4272976484.2,2383393425.72,14907599128.73,4531745328.81,861943840.72,3669801488.09,1961216610.79,505085622.29,138599775.61,2604902008.69,0,2604902008.69,16340934834.94,-207241689.75,0,0,0,0,0,0,16133693145.19,89654742.23,22498051384.2,72817795.23,22570869179.43,341835000,3949059468.79,1859592.8,15412792.97,33571133.82,0,1184676205.05,15637428202.47,21163842395.9,1407026783.53,0,1407026783.53,0,1407026783.53
16182048446.17,130590158.19,6539545623.55,407871992.93,7252085.53,131188738.16,23398497044.53,8458359630.91,6107252625.76,3170644833.56,17736257090.23,5662239954.3,676206977.45,4986032976.85,3438257928.05,666358251.73,141779152.85,4246395332.63,0,4246395332.63,13698462976,531323603.52,0,0,0,0,0,0,14229786579.52,87413406.72,23549628295.72,65993658.49,23615621954.21,269813818.46,3710530854.18,-543648279.57,-13747465.67,27766260.99,0,1270053059.77,8602011655,13322779903.16,10292842051.05,0,10292842051.05,0,10292842051.05
